"Sample_title","Sample_geo_accession","Sample_source_name_ch1","GSM","bw_file","histone_mark","metastasis_site","sample_id","region","signal"
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2","Promoter",0.613372782095868
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2","Gene Body",0.521582034583819
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2","Downstream",0.229268647126249
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2","Promoter",0.626780353142665
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2","Gene Body",0.494227755129537
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2","Downstream",0.160244870644349
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3","Promoter",1.95554618702994
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3","Gene Body",1.81647488041642
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3","Downstream",0.694618985207394
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3","Promoter",0.263332307195434
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3","Gene Body",0.220673901448538
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3","Downstream",0.165800612799975
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4","Promoter",1.91688231649125
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4","Gene Body",1.79072873618492
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4","Downstream",0.325188501551747
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4","Promoter",0.21580438879205
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4","Gene Body",0.189780142131469
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4","Downstream",0.0727073667865051
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13","Promoter",6.91099549500839
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13","Gene Body",6.18733471146928
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13","Downstream",1.82657361878912
"WCM12_Z13, H3K27me3, ChIP-seq","GSM8791995","Brain","GSM8791995","./GSM8791995_WCM12_Z13_H3K27me3.bw","H3K27me3","Brain","WCM12_Z13","Promoter",0.431731057583409
"WCM12_Z13, H3K27me3, ChIP-seq","GSM8791995","Brain","GSM8791995","./GSM8791995_WCM12_Z13_H3K27me3.bw","H3K27me3","Brain","WCM12_Z13","Gene Body",0.383002898991108
"WCM12_Z13, H3K27me3, ChIP-seq","GSM8791995","Brain","GSM8791995","./GSM8791995_WCM12_Z13_H3K27me3.bw","H3K27me3","Brain","WCM12_Z13","Downstream",0.123318846265857
"WCM159_1, H3K27ac, ChIP-seq","GSM8791996","Adrenal gland","GSM8791996","./GSM8791996_WCM159_1_H3K27ac.bw","H3K27ac","Adrenal","WCM159_1","Promoter",0.555609356764464
"WCM159_1, H3K27ac, ChIP-seq","GSM8791996","Adrenal gland","GSM8791996","./GSM8791996_WCM159_1_H3K27ac.bw","H3K27ac","Adrenal","WCM159_1","Gene Body",0.473975732673162
"WCM159_1, H3K27ac, ChIP-seq","GSM8791996","Adrenal gland","GSM8791996","./GSM8791996_WCM159_1_H3K27ac.bw","H3K27ac","Adrenal","WCM159_1","Downstream",0.168793515579121
"WCM159_1, H3K27me3, ChIP-seq","GSM8791997","Adrenal gland","GSM8791997","./GSM8791997_WCM159_1_H3K27me3.bw","H3K27me3","Adrenal","WCM159_1","Promoter",0.468798970847618
"WCM159_1, H3K27me3, ChIP-seq","GSM8791997","Adrenal gland","GSM8791997","./GSM8791997_WCM159_1_H3K27me3.bw","H3K27me3","Adrenal","WCM159_1","Gene Body",0.378459047005829
"WCM159_1, H3K27me3, ChIP-seq","GSM8791997","Adrenal gland","GSM8791997","./GSM8791997_WCM159_1_H3K27me3.bw","H3K27me3","Adrenal","WCM159_1","Downstream",0.207816317089294
"WCM159_2, H3K27ac, ChIP-seq","GSM8791998","Lung","GSM8791998","./GSM8791998_WCM159_2_H3K27ac.bw","H3K27ac","Lung","WCM159_2","Promoter",0.501246842311569
"WCM159_2, H3K27ac, ChIP-seq","GSM8791998","Lung","GSM8791998","./GSM8791998_WCM159_2_H3K27ac.bw","H3K27ac","Lung","WCM159_2","Gene Body",0.425874334046966
"WCM159_2, H3K27ac, ChIP-seq","GSM8791998","Lung","GSM8791998","./GSM8791998_WCM159_2_H3K27ac.bw","H3K27ac","Lung","WCM159_2","Downstream",0.177254316481677
"WCM159_2, H3K27me3, ChIP-seq","GSM8791999","Lung","GSM8791999","./GSM8791999_WCM159_2_H3K27me3.bw","H3K27me3","Lung","WCM159_2","Promoter",0.363828482162772
"WCM159_2, H3K27me3, ChIP-seq","GSM8791999","Lung","GSM8791999","./GSM8791999_WCM159_2_H3K27me3.bw","H3K27me3","Lung","WCM159_2","Gene Body",0.301667038275271
"WCM159_2, H3K27me3, ChIP-seq","GSM8791999","Lung","GSM8791999","./GSM8791999_WCM159_2_H3K27me3.bw","H3K27me3","Lung","WCM159_2","Downstream",0.204609128120153
"WCM159_Z6, H3K27ac, ChIP-seq","GSM8792000","LN","GSM8792000","./GSM8792000_WCM159_Z6_H3K27ac.bw","H3K27ac","Lymph Node","WCM159_Z6","Promoter",0.433860183546418
"WCM159_Z6, H3K27ac, ChIP-seq","GSM8792000","LN","GSM8792000","./GSM8792000_WCM159_Z6_H3K27ac.bw","H3K27ac","Lymph Node","WCM159_Z6","Gene Body",0.39205696630752
"WCM159_Z6, H3K27ac, ChIP-seq","GSM8792000","LN","GSM8792000","./GSM8792000_WCM159_Z6_H3K27ac.bw","H3K27ac","Lymph Node","WCM159_Z6","Downstream",0.143419316715815
"WCM159_Z6, H3K27me3, ChIP-seq","GSM8792001","LN","GSM8792001","./GSM8792001_WCM159_Z6_H3K27me3.bw","H3K27me3","Lymph Node","WCM159_Z6","Promoter",0.379233901783571
"WCM159_Z6, H3K27me3, ChIP-seq","GSM8792001","LN","GSM8792001","./GSM8792001_WCM159_Z6_H3K27me3.bw","H3K27me3","Lymph Node","WCM159_Z6","Gene Body",0.31102585858403
"WCM159_Z6, H3K27me3, ChIP-seq","GSM8792001","LN","GSM8792001","./GSM8792001_WCM159_Z6_H3K27me3.bw","H3K27me3","Lymph Node","WCM159_Z6","Downstream",0.163373912806096
"WCM677_1, H3K27ac, ChIP-seq","GSM8792002","Bone","GSM8792002","./GSM8792002_WCM677_1_H3K27ac.bw","H3K27ac","Bone","WCM677_1","Promoter",1.4601639226048
"WCM677_1, H3K27ac, ChIP-seq","GSM8792002","Bone","GSM8792002","./GSM8792002_WCM677_1_H3K27ac.bw","H3K27ac","Bone","WCM677_1","Gene Body",1.38423158608529
"WCM677_1, H3K27ac, ChIP-seq","GSM8792002","Bone","GSM8792002","./GSM8792002_WCM677_1_H3K27ac.bw","H3K27ac","Bone","WCM677_1","Downstream",0.506379070726258
"WCM677_1, H3K27me3, ChIP-seq","GSM8792003","Bone","GSM8792003","./GSM8792003_WCM677_1_H3K27me3.bw","H3K27me3","Bone","WCM677_1","Promoter",0.311364341893646
"WCM677_1, H3K27me3, ChIP-seq","GSM8792003","Bone","GSM8792003","./GSM8792003_WCM677_1_H3K27me3.bw","H3K27me3","Bone","WCM677_1","Gene Body",0.260621265941103
"WCM677_1, H3K27me3, ChIP-seq","GSM8792003","Bone","GSM8792003","./GSM8792003_WCM677_1_H3K27me3.bw","H3K27me3","Bone","WCM677_1","Downstream",0.166428124532104
"WCM677_3, H3K27ac, ChIP-seq","GSM8792004","Liver","GSM8792004","./GSM8792004_WCM677_3_H3K27ac.bw","H3K27ac","Liver","WCM677_3","Promoter",1.02476657402885
"WCM677_3, H3K27ac, ChIP-seq","GSM8792004","Liver","GSM8792004","./GSM8792004_WCM677_3_H3K27ac.bw","H3K27ac","Liver","WCM677_3","Gene Body",0.937397311613571
"WCM677_3, H3K27ac, ChIP-seq","GSM8792004","Liver","GSM8792004","./GSM8792004_WCM677_3_H3K27ac.bw","H3K27ac","Liver","WCM677_3","Downstream",0.35637255402845
"WCM677_3, H3K27me3, ChIP-seq","GSM8792005","Liver","GSM8792005","./GSM8792005_WCM677_3_H3K27me3.bw","H3K27me3","Liver","WCM677_3","Promoter",0.177080802669128
"WCM677_3, H3K27me3, ChIP-seq","GSM8792005","Liver","GSM8792005","./GSM8792005_WCM677_3_H3K27me3.bw","H3K27me3","Liver","WCM677_3","Gene Body",0.159637907040971
"WCM677_3, H3K27me3, ChIP-seq","GSM8792005","Liver","GSM8792005","./GSM8792005_WCM677_3_H3K27me3.bw","H3K27me3","Liver","WCM677_3","Downstream",0.0754604558037086
"WCM90_Z21, H3K27ac, ChIP-seq","GSM8792006","Liver","GSM8792006","./GSM8792006_WCM90_Z21_H3K27ac.bw","H3K27ac","Liver","WCM90_Z21","Promoter",1.93336552872318
"WCM90_Z21, H3K27ac, ChIP-seq","GSM8792006","Liver","GSM8792006","./GSM8792006_WCM90_Z21_H3K27ac.bw","H3K27ac","Liver","WCM90_Z21","Gene Body",1.7912558904562
"WCM90_Z21, H3K27ac, ChIP-seq","GSM8792006","Liver","GSM8792006","./GSM8792006_WCM90_Z21_H3K27ac.bw","H3K27ac","Liver","WCM90_Z21","Downstream",0.443586672536838
"WCM90_Z21, H3K27me3, ChIP-seq","GSM8792007","Liver","GSM8792007","./GSM8792007_WCM90_Z21_H3K27me3.bw","H3K27me3","Liver","WCM90_Z21","Promoter",0.265024761595423
"WCM90_Z21, H3K27me3, ChIP-seq","GSM8792007","Liver","GSM8792007","./GSM8792007_WCM90_Z21_H3K27me3.bw","H3K27me3","Liver","WCM90_Z21","Gene Body",0.224635715330286
"WCM90_Z21, H3K27me3, ChIP-seq","GSM8792007","Liver","GSM8792007","./GSM8792007_WCM90_Z21_H3K27me3.bw","H3K27me3","Liver","WCM90_Z21","Downstream",0.121290911327709
